transaction_date,payment_method,cashier_name,transaction_amount,transaction_discount,customer_first_name,customer_last_name,customer_email,customer_phone,customer_city,customer_province,customer_loyalty_tier,customer_since,store_name,store_city,store_province,store_region,store_manager,product_name,category,sub_category,sku,unit_price,cost_price,supplier,qty,line_amount,stock_on_hand,reorder_threshold
2024-06-12,Cash,Carol Mokoena,31.98,0.0,Musa,Ntuli,musa.ntuli@gmail.com,0861234610,Empangeni,KwaZulu-Natal,Gold,2019-05-17,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,White Bread 700g,Groceries,Bakery,SKU-GRO-001,15.99,9.5,Sasko Bakeries,2,31.98,42,20
2024-04-17,Credit Card,Eve Fourie,127.97,10.0,Samantha,Jacobs,samantha.jacobs@outlook.com,0831234582,East London,Eastern Cape,Silver,2021-11-29,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Rooibos Tea 40 Bags,Groceries,Hot Beverages,SKU-GRO-006,45.99,32.0,Freshpak,3,137.97,24,10
17/05/2024,Cash,David Nkosi,-40.02,100.0,Annah,Molefe,annah.molefe@outlook.com,0831234601,Soweto,Gauteng,Gold,2019-03-14,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Full Cream Milk 2L,Groceries,Dairy,SKU-GRO-002,29.99,19.0,Clover SA,2,59.98,35,15
2024-02-11,Debit Card,George Petersen,502.92,0.0,Sipho,Zulu,sipho.zulu@webmail.co.za,0741234573,Soweto,Gauteng,Gold,2018-09-01,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Tomato Sauce 500ml,Groceries,Condiments,SKU-GRO-009,34.99,22.0,All Gold,1,34.99,30,12
2024-02-11,Debit Card,George Petersen,502.92,0.0,Sipho,Zulu,sipho.zulu@webmail.co.za,0741234573,Soweto,Gauteng,Gold,2018-09-01,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,White Bread 700g,Groceries,Bakery,SKU-GRO-001,15.99,9.5,Sasko Bakeries,1,15.99,42,20
2024-02-11,Debit Card,George Petersen,502.92,0.0,Sipho,Zulu,sipho.zulu@webmail.co.za,0741234573,Soweto,Gauteng,Gold,2018-09-01,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Rooibos Tea 40 Bags,Groceries,Hot Beverages,SKU-GRO-006,45.99,32.0,Freshpak,2,91.98,24,10
2024-02-11,Debit Card,George Petersen,502.92,0.0,Sipho,Zulu,sipho.zulu@webmail.co.za,0741234573,Soweto,Gauteng,Gold,2018-09-01,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Instant Coffee 100g,Groceries,Hot Beverages,SKU-GRO-010,89.99,58.0,Nescafé SA,4,359.96,22,8
2024-03-08,Credit Card,Eve Fourie,699.0,200.0,Nobuhle,Hadebe,nobuhle.h@webmail.co.za,0711234584,Durban South,KwaZulu-Natal,Gold,2020-02-28,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,JBL Clip 4 Bluetooth Speaker,Electronics,Audio,SKU-ELE-002,899.0,650.0,JBL SA,1,899.0,11,5
2024-06-01,Credit Card,David Nkosi,398.0,50.0,Musa,Ntuli,,0861234610,Empangeni,KwaZulu-Natal,Gold,2019-05-17,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Kids T-Shirt Pack x3,Clothing,Tops,SKU-CLO-006,199.0,110.0,Ackermans,1,199.0,24,8
2024-06-01,Credit Card,David Nkosi,398.0,50.0,Musa,Ntuli,,0861234610,Empangeni,KwaZulu-Natal,Gold,2019-05-17,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Men's Running Shorts,Clothing,Bottoms,SKU-CLO-008,249.0,145.0,Sportscene,1,249.0,18,7
2024-02-15,EFT,Khosi Zulu,3479.0,20.0,Portia,Molefi,portia.molefi@gmail.com,0861234605,Pretoria West,Gauteng,Gold,2020-06-22,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Samsung Galaxy A14 64GB,Electronics,Smartphones,SKU-ELE-001,3499.0,2800.0,Samsung SA,1,3499.0,6,3
2024-03-19,EFT,Brian Sithole,877.95,0.0,Carla,Oosthuizen,carla.o@mweb.co.za,0631234607,Bloemfontein,Free State,Bronze,2022-09-08,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Logitech M185 Wireless Mouse,Electronics,Accessories,SKU-ELE-005,299.0,195.0,Logitech,2,598.0,16,5
2024-03-19,EFT,Brian Sithole,877.95,0.0,Carla,Oosthuizen,carla.o@mweb.co.za,0631234607,Bloemfontein,Free State,Bronze,2022-09-08,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Sunflower Oil 2L,Groceries,Oils & Fats,SKU-GRO-004,55.99,38.0,Sunfoil,5,279.95,19,8
2024-04-12,Credit Card,Wendy Jacobs,55.99,0.0,Johan,van der Merwe,,0611234569,Pretoria East,Gauteng,Bronze,2022-01-15,BrightMart Greenacres,Gqeberha,Eastern Cape,South,Johan van der Merwe,Sunflower Oil 2L,Groceries,Oils & Fats,SKU-GRO-004,55.99,38.0,Sunfoil,1,55.99,19,8
2024-05-11,Cash,David Nkosi,-201.0,500.0,Kavitha,Naidoo,kavitha.naidoo@hotmail.com,0731234589,Tongaat,KwaZulu-Natal,Gold,2019-12-01,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Men's Polo Shirt,Clothing,Tops,SKU-CLO-001,299.0,180.0,Identity,1,299.0,20,8
13-04-2024,Cash,Khosi Zulu,95.92,300.0,Fatima,Hendricks,fatima.hendricks@icloud.com,0821234574,Cape Town CBD,Western Cape,Silver,2020-04-17,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,White Bread 700g,Groceries,Bakery,SKU-GRO-001,15.99,9.5,Sasko Bakeries,3,47.97,42,20
13-04-2024,Cash,Khosi Zulu,95.92,300.0,Fatima,Hendricks,fatima.hendricks@icloud.com,0821234574,Cape Town CBD,Western Cape,Silver,2020-04-17,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Full Cream Milk 2L,Groceries,Dairy,SKU-GRO-002,29.99,19.0,Clover SA,5,149.95,35,15
13-04-2024,Cash,Khosi Zulu,95.92,300.0,Fatima,Hendricks,fatima.hendricks@icloud.com,0821234574,Cape Town CBD,Western Cape,Silver,2020-04-17,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,HDMI Cable 1.8m,Electronics,Accessories,SKU-ELE-007,99.0,55.0,Generic,2,198.0,25,8
2024-04-09,Credit Card,David Nkosi,10496.0,500.0,Lerato,Sithole,lerato.sithole@gmail.com,0811234579,Tembisa,Gauteng,Gold,2019-07-14,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Portable Power Bank 20000mAh,Electronics,Accessories,SKU-ELE-008,499.0,320.0,Romoss,1,499.0,12,4
2024-04-09,Credit Card,David Nkosi,10496.0,500.0,Lerato,Sithole,lerato.sithole@gmail.com,0811234579,Tembisa,Gauteng,Gold,2019-07-14,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Samsung Galaxy A14 64GB,Electronics,Smartphones,SKU-ELE-001,3499.0,2800.0,Samsung SA,3,10497.0,6,3
2024-06-21,Cash,Sam Nkosi,769.0,30.0,Priya,Govender,priya.govender@hotmail.com,0731234568,Durban North,KwaZulu-Natal,Silver,2020-07-22,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Wireless Earbuds,Electronics,Audio,SKU-ELE-006,799.0,560.0,Samsung SA,1,799.0,7,3
2024-03-17,Cash,Faith Adams,219.97,0.0,Zanele,Mokoena,zanele.mokoena@gmail.com,0711234576,Midrand,Gauteng,Gold,2020-12-05,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Pantene Shampoo 400ml,Beauty & Personal Care,Hair Care,SKU-BPC-002,79.99,52.0,P&G SA,1,79.99,28,10
2024-03-17,Cash,Faith Adams,219.97,0.0,Zanele,Mokoena,zanele.mokoena@gmail.com,0711234576,Midrand,Gauteng,Gold,2020-12-05,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Colgate Toothpaste 100ml,Beauty & Personal Care,Oral Care,SKU-BPC-003,49.99,30.0,Colgate-Palmolive,1,49.99,33,12
2024-03-17,Cash,Faith Adams,219.97,0.0,Zanele,Mokoena,zanele.mokoena@gmail.com,0711234576,Midrand,Gauteng,Gold,2020-12-05,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Dove Body Lotion 400ml,Beauty & Personal Care,Body Care,SKU-BPC-001,89.99,58.0,Unilever SA,1,89.99,25,10
2024-03-08,Debit Card,Alice Dube,71.95,50.0,Annah,Molefe,annah.molefe@outlook.com,0831234601,Soweto,Gauteng,Gold,2019-03-14,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Full Cream Milk 2L,Groceries,Dairy,SKU-GRO-002,29.99,19.0,Clover SA,3,89.97,35,15
2024-03-08,Debit Card,Alice Dube,71.95,50.0,Annah,Molefe,annah.molefe@outlook.com,0831234601,Soweto,Gauteng,Gold,2019-03-14,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,White Bread 700g,Groceries,Bakery,SKU-GRO-001,15.99,9.5,Sasko Bakeries,2,31.98,42,20
2024-04-23,Credit Card,Nandi Hadebe,45.99,0.0,Xolani,Khumalo,xolani.khumalo@gmail.com,0821234608,Johannesburg CBD,Gauteng,Silver,2020-11-15,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Rooibos Tea 40 Bags,Groceries,Hot Beverages,SKU-GRO-006,45.99,32.0,Freshpak,1,45.99,24,10
2024-05-23,Store Credit,Sam Nkosi,548.96,30.0,Busisiwe,Nene,busisiwe.nene@webmail.co.za,0741234615,Pietermaritzburg,KwaZulu-Natal,Gold,2018-11-03,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Basmati Rice 2kg,Groceries,Grains,SKU-GRO-007,69.99,48.0,Tastic,4,279.96,18,8
2024-05-23,Store Credit,Sam Nkosi,548.96,30.0,Busisiwe,Nene,busisiwe.nene@webmail.co.za,0741234615,Pietermaritzburg,KwaZulu-Natal,Gold,2018-11-03,BrightMart Menlyn Park,Pretoria,Gauteng,North,Nomsa Khumalo,Logitech M185 Wireless Mouse,Electronics,Accessories,SKU-ELE-005,299.0,195.0,Logitech,1,299.0,16,5
2024-04-30,Credit Card,David Nkosi,329.92,30.0,Cecilia,van Wyk,cecilia.vanwyk@mweb.co.za,0691234599,Paarl,Western Cape,Silver,2022-02-19,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Tomato Sauce 500ml,Groceries,Condiments,SKU-GRO-009,34.99,22.0,All Gold,2,69.98,30,12
2024-04-30,Credit Card,David Nkosi,329.92,30.0,Cecilia,van Wyk,cecilia.vanwyk@mweb.co.za,0691234599,Paarl,Western Cape,Silver,2022-02-19,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,Colgate Toothpaste 100ml,Beauty & Personal Care,Oral Care,SKU-BPC-003,49.99,30.0,Colgate-Palmolive,5,249.95,33,12
2024-04-30,Credit Card,David Nkosi,329.92,30.0,Cecilia,van Wyk,cecilia.vanwyk@mweb.co.za,0691234599,Paarl,Western Cape,Silver,2022-02-19,BrightMart Sandton City,Sandton,Gauteng,North,Thabo Nkosi,White Sugar 2kg,Groceries,Baking,SKU-GRO-005,39.99,28.0,Huletts Sugar,1,39.99,31,10
2024-03-21,Cash,Jane Williams,978.0,20.0,Annah,Molefe,,0831234601,Soweto,Gauteng,Gold,2019-03-14,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Wireless Earbuds,Electronics,Audio,SKU-ELE-006,799.0,560.0,Samsung SA,1,799.0,7,3
2024-03-21,Cash,Jane Williams,978.0,20.0,Annah,Molefe,,0831234601,Soweto,Gauteng,Gold,2019-03-14,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Kids T-Shirt Pack x3,Clothing,Tops,SKU-CLO-006,199.0,110.0,Ackermans,1,199.0,24,8
2024-06-19,Debit Card,Ivan du Plessis,279.0,20.0,Nozipho,Cele,,0831234613,Umlazi,KwaZulu-Natal,Silver,2021-03-28,BrightMart V&A Waterfront,Cape Town,Western Cape,South,Priya Govender,Men's Polo Shirt,Clothing,Tops,SKU-CLO-001,299.0,180.0,Identity,1,299.0,20,8
2024-06-04,Credit Card,Nandi Hadebe,3215.96,500.0,Busisiwe,Nene,busisiwe.nene@webmail.co.za,0741234615,Pietermaritzburg,KwaZulu-Natal,Gold,2018-11-03,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Full Cream Milk 2L,Groceries,Dairy,SKU-GRO-002,29.99,19.0,Clover SA,4,119.96,35,15
2024-06-04,Credit Card,Nandi Hadebe,3215.96,500.0,Busisiwe,Nene,busisiwe.nene@webmail.co.za,0741234615,Pietermaritzburg,KwaZulu-Natal,Gold,2018-11-03,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Padded Winter Jacket,,Outerwear,SKU-CLO-004,899.0,580.0,Cape Union Mart,4,3596.0,9,4
2024-05-01,Credit Card,Khosi Zulu,748.98,20.0,Nobuhle,Hadebe,nobuhle.h@webmail.co.za,0711234584,Durban South,KwaZulu-Natal,Gold,2020-02-28,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Basmati Rice 2kg,Groceries,Grains,SKU-GRO-007,69.99,48.0,Tastic,1,69.99,18,8
2024-05-01,Credit Card,Khosi Zulu,748.98,20.0,Nobuhle,Hadebe,nobuhle.h@webmail.co.za,0711234584,Durban South,KwaZulu-Natal,Gold,2020-02-28,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Nivea Moisturising Cream 200ml,Beauty & Personal Care,Skin Care,SKU-BPC-004,99.99,62.0,Beiersdorf SA,1,99.99,19,8
2024-05-01,Credit Card,Khosi Zulu,748.98,20.0,Nobuhle,Hadebe,nobuhle.h@webmail.co.za,0711234584,Durban South,KwaZulu-Natal,Gold,2020-02-28,BrightMart Gateway Mall,Umhlanga,KwaZulu-Natal,East,Sipho Dlamini,Ladies Slim Fit Jeans,Clothing,Bottoms,SKU-CLO-002,599.0,380.0,Levi's SA,1,599.0,12,5
